,Chromosome,Start,Stop,Strand,Gene Symbol,gene_biotype,gene_name,gene_source,tag,transcript_biotype,transcript_source,GC-JN-9178-12-IC_S13,GC-JN-9178-9-OC_S10,GC-JN-9178-9-R_S6,GC-JN-9178-Ctrl-IC_S8,GC-JN-9178-12-R_S5,GC-JN-9178-13-R_S11,GC-JN-9178-13-OC_S3,GC-JN-9178-Ctrl-OC_S9,GC-JN-9178-13-IC_S7,GC-JN-9178-11-R_S4,GC-JN-9178-10-R_S15,GC-JN-9178-11-OC_S17,GC-JN-9178-10-OC_S2,GC-JN-9178-9-IC_S12,GC-JN-9178-11-IC_S16,GC-JN-9178-12-OC_S14,GC-JN-9178-10-IC_S1,BLGCSEQ0192-RNAControl1_S18,BLGCSEQ0192-RNAControl3_S20,BLGCSEQ0192-RNAControl2_S19
7056,14,81334212,81341671,-,ENSSSCG00000044820,lncRNA,---,ensembl,---,lncRNA,ensembl,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
7070,1,53275692,53279511,-,ENSSSCG00000044858,protein_coding,---,ensembl,---,protein_coding,ensembl,4.18549,0.0,0.0,1.0,4.95e-13,1.0,1.0,2.47706,1.0,1.0,7.0,0.0,3.71e-39,1.0,0.0,0.0,1.0,0.0,0.0,0.0
7112,10,14388171,14391634,-,ENSSSCG00000044938,lncRNA,---,ensembl,---,lncRNA,ensembl,9.0,0.0,0.0,4.0,3.0,1.0,2.0,2.0,4.0,8.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0
7116,1,87286359,87287932,-,ENSSSCG00000044964,protein_coding,---,ensembl,---,protein_coding,ensembl,1.36626,0.0,1.74032,5.63e-15,0.318409,9.25146,7.57e-09,3.2371,0.0,0.0,0.0,2.60197,3.0,0.389292,0.0381027,1.10998,2.97382,0.0,0.0,0.0
7171,2,56826890,56829563,+,ENSSSCG00000045107,protein_coding,---,ensembl,---,protein_coding,ensembl,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,5.0,0.0,2.0,1.36e-11,0.0,2.0,6.26e-18,0.0,0.0,0.0
7191,13,81453066,81461339,-,ENSSSCG00000045164,lncRNA,---,ensembl,---,lncRNA,ensembl,0.0,1.0,2.0,0.0,0.0,0.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7223,4,62415168,62420578,-,ENSSSCG00000045238,pseudogene,---,ensembl,---,pseudogene,ensembl,0.0,0.0,2.0,2.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
7245,9,77307796,77315489,-,ENSSSCG00000045298,lncRNA,---,ensembl,---,lncRNA,ensembl,3.0,0.0,4.0,0.0,10.0,17.0,0.0,10.0,5.0,4.0,0.0,7.0,0.0,2.0,1.0,4.0,12.0,0.0,0.0,0.0
7256,8,22701657,22708490,+,ENSSSCG00000045318,lncRNA,---,ensembl,---,lncRNA,ensembl,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7269,13,5419911,5443250,+,ENSSSCG00000045354,lncRNA,---,ensembl,---,lncRNA,ensembl,12.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,5.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
7278,1,18227005,18230238,-,ENSSSCG00000045381,lncRNA,---,ensembl,---,lncRNA,ensembl,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7282,9,7116323,7132405,+,ENSSSCG00000045388,lncRNA,---,ensembl,---,lncRNA,ensembl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
7314,16,77842074,77846860,-,ENSSSCG00000045456,lncRNA,---,ensembl,---,lncRNA,ensembl,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7348,3,71455036,71460209,+,ENSSSCG00000045542,lncRNA,---,ensembl,---,lncRNA,ensembl,2.0,0.0,2.0,15.0,2.0,0.0,3.0,17.0,1.0,1.0,8.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
7361,15,15218336,15222373,+,ENSSSCG00000045566,lncRNA,---,ensembl,---,lncRNA,ensembl,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
7369,10,1558955,1676860,+,ENSSSCG00000045591,lncRNA,---,ensembl,---,lncRNA,ensembl,4.0,3.0,3.0,1.0,5.0,0.0,1.0,1.0,0.0,12.0,0.0,5.0,1.0,5.0,4.0,1.0,21.0,0.0,0.0,0.0
7385,9,106005975,106116309,+,ENSSSCG00000045631,lncRNA,---,ensembl,---,lncRNA,ensembl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7451,13,124288426,124293967,+,ENSSSCG00000045760,lncRNA,---,ensembl,---,lncRNA,ensembl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
7478,17,5537044,5543512,+,ENSSSCG00000045843,lncRNA,---,ensembl,---,lncRNA,ensembl,0.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
7485,2,95280511,95287386,+,ENSSSCG00000045864,lncRNA,---,ensembl,---,lncRNA,ensembl,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
7491,1,245682591,245684920,+,ENSSSCG00000045877,protein_coding,---,ensembl,---,protein_coding,ensembl,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,5.0,4.0,2.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0
7504,3,26407043,26411605,-,ENSSSCG00000045906,lncRNA,---,ensembl,---,lncRNA,ensembl,0.0,1.0,1.0,0.0,4.0,0.0,2.0,1.0,4.0,0.0,0.0,2.0,5.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0
7505,3,58848933,58851632,-,ENSSSCG00000045908,lncRNA,---,ensembl,---,lncRNA,ensembl,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7543,18,22727619,22749206,-,ENSSSCG00000046026,lncRNA,---,ensembl,---,lncRNA,ensembl,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
7576,1,138863591,138865796,-,ENSSSCG00000046099,pseudogene,---,ensembl,---,pseudogene,ensembl,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,1.20156,0.0,0.0,0.0,0.0
7623,16,30328464,30331563,-,ENSSSCG00000046216,pseudogene,---,ensembl,---,pseudogene,ensembl,2.85e-05,0.0,3.0,1.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,6.48433,2.0,0.0,0.0,0.0
7668,4,56117897,56119590,-,ENSSSCG00000046309,lncRNA,---,ensembl,---,lncRNA,ensembl,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7669,1,40590137,40600774,-,ENSSSCG00000046311,lncRNA,---,ensembl,---,lncRNA,ensembl,0.0,1.0,0.0,28.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,37.0,0.0,0.0,0.0
7700,13,83691853,83704447,-,ENSSSCG00000046413,lncRNA,---,ensembl,---,lncRNA,ensembl,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0
7801,15,82278743,82280996,-,ENSSSCG00000046644,lncRNA,---,ensembl,---,lncRNA,ensembl,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7812,8,117217218,117406635,-,ENSSSCG00000046677,lncRNA,---,ensembl,---,lncRNA,ensembl,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0
7828,5,79004609,79009620,+,ENSSSCG00000046720,protein_coding,---,ensembl,---,protein_coding,ensembl,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
7832,8,59196256,59200412,-,ENSSSCG00000046730,protein_coding,---,ensembl,---,protein_coding,ensembl,1.0,0.0,3.0,7.0,0.0,2.27343,1.0,2.21324,0.0,1.0,0.0,1.17714,0.0,3.50203,0.0,4.0,3.38e-26,0.0,0.0,0.0
7873,4,117232852,117239414,+,ENSSSCG00000046830,lncRNA,---,ensembl,---,lncRNA,ensembl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0
7878,9,102132482,102135394,-,ENSSSCG00000046838,protein_coding,---,ensembl,---,protein_coding,ensembl,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7882,AEMK02000482.1,68961,74389,+,ENSSSCG00000046849,pseudogene,---,ensembl,---,pseudogene,ensembl,10.0,3.0,0.0,3.0,2.54261,1.0,6.15319,6.0,2.02408,2.0,4.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
7888,2,132519483,132532893,-,ENSSSCG00000046867,lncRNA,---,ensembl,---,lncRNA,ensembl,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
7901,6,7739237,7744415,+,ENSSSCG00000046915,lncRNA,---,ensembl,---,lncRNA,ensembl,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
7929,13,119312699,119322346,+,ENSSSCG00000046983,lncRNA,---,ensembl,---,lncRNA,ensembl,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0
7963,AEMK02000328.1,191570,197291,-,ENSSSCG00000047081,lncRNA,---,ensembl,---,lncRNA,ensembl,17.0,0.0,0.0,0.0,0.0,6.0,4.0,1.0,0.0,4.0,0.0,0.0,6.0,1.0,4.0,1.0,3.0,0.0,0.0,0.0
7975,3,70482003,70485900,-,ENSSSCG00000047106,pseudogene,---,ensembl,---,pseudogene,ensembl,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8037,17,841918,846515,+,ENSSSCG00000047269,protein_coding,---,ensembl,---,protein_coding,ensembl,1.0,0.0,1.0,6.53e-16,0.0,0.0,0.0,10.7786,0.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0
8085,3,97242957,97246265,+,ENSSSCG00000047431,lncRNA,---,ensembl,---,lncRNA,ensembl,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8143,13,46305926,46316805,-,ENSSSCG00000047585,lncRNA,---,ensembl,---,lncRNA,ensembl,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
8156,5,56828611,56831757,+,ENSSSCG00000047620,pseudogene,---,ensembl,---,pseudogene,ensembl,16.0,1.0,6.0,29.0,2.0,22.0,40.0,22.0,17.0,11.0,13.0,16.0,8.0,16.0,16.0,19.0,7.0,0.0,0.0,0.0
8168,9,71922926,71925197,-,ENSSSCG00000047647,processed_pseudogene,---,ensembl,---,processed_pseudogene,ensembl,4.0,0.0,4.0,4.64e-25,3.0,2.0,4.0,7.0,2.0,4.90611,1.0,1.34197,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
8223,AEMK02000569.1,123121,125332,+,ENSSSCG00000047769,processed_pseudogene,---,ensembl,---,processed_pseudogene,ensembl,2.0,0.0,1.0,1.58e-07,2.0,0.0,0.0,1.27206,1.0,0.0,0.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0
8227,AEMK02000400.1,907,9664,-,ENSSSCG00000047777,lncRNA,---,ensembl,---,lncRNA,ensembl,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
8291,8,117582777,117636224,+,ENSSSCG00000047952,lncRNA,---,ensembl,---,lncRNA,ensembl,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,9.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8359,2,102659053,102662265,+,ENSSSCG00000048137,lncRNA,---,ensembl,---,lncRNA,ensembl,8.0,0.0,0.0,1.0,4.0,3.0,1.0,6.0,1.0,6.0,0.0,0.0,4.0,6.0,4.0,8.0,1.0,0.0,0.0,0.0
8374,9,85023913,85029882,-,ENSSSCG00000048170,protein_coding,---,ensembl,---,protein_coding,ensembl,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8398,13,88589474,88595751,-,ENSSSCG00000048228,lncRNA,---,ensembl,---,lncRNA,ensembl,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0
8470,3,94070568,94073883,+,ENSSSCG00000048402,lncRNA,---,ensembl,---,lncRNA,ensembl,2.0,0.0,0.0,0.0,1.0,0.0,4.0,7.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8481,AEMK02000602.1,69474,104510,-,ENSSSCG00000048420,lncRNA,---,ensembl,---,lncRNA,ensembl,128.0,71.0,110.0,196.0,87.0,128.999,101.0,260.427,92.0001,107.823,203.446,166.844,180.0,176.748,90.6472,181.26,167.0,0.0,0.0,0.0
8509,10,69103974,69112062,+,ENSSSCG00000048483,pseudogene,---,ensembl,---,pseudogene,ensembl,39.0,9.0,13.0,79.0,15.0,61.0,106.0,274.0,48.0,57.0,58.0,31.0,28.0,42.0,48.0,68.0,30.0,0.0,0.0,0.0
8512,1,104562344,104570865,+,ENSSSCG00000048492,lncRNA,---,ensembl,---,lncRNA,ensembl,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8531,6,135635632,135644130,-,ENSSSCG00000048534,protein_coding,---,ensembl,---,protein_coding,ensembl,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
8532,18,27426483,27513982,-,ENSSSCG00000048536,lncRNA,---,ensembl,---,lncRNA,ensembl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
8613,1,7852739,7857231,+,ENSSSCG00000048737,lncRNA,---,ensembl,---,lncRNA,ensembl,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8616,1,37912666,37914590,+,ENSSSCG00000048747,lncRNA,---,ensembl,---,lncRNA,ensembl,2.0,0.0,0.0,5.0,0.0,5.0,1.0,0.0,3.0,2.0,0.0,2.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0
8641,9,10620801,10624527,-,ENSSSCG00000048803,lncRNA,---,ensembl,---,lncRNA,ensembl,2.0,0.0,4.0,1.0,2.0,1.0,0.0,5.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0
8654,4,12356532,12382379,-,ENSSSCG00000048833,lncRNA,---,ensembl,---,lncRNA,ensembl,5.0,0.0,2.0,0.0,0.0,9.0,4.0,2.0,2.0,4.0,13.0,2.0,1.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0
8655,15,102685819,102687094,+,ENSSSCG00000048836,protein_coding,---,ensembl,---,protein_coding,ensembl,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8661,3,107202436,107206771,+,ENSSSCG00000048847,protein_coding,---,ensembl,---,protein_coding,ensembl,2.0,1.0,0.0,2.58999,0.0,1.0,1.0,7.64727,0.0,3.0,0.0,1.0,0.0,6.0,2.0,1.0,4.0,0.0,0.0,0.0
8688,17,13702670,13705125,-,ENSSSCG00000048919,protein_coding,---,ensembl,---,protein_coding,ensembl,11.0,0.0,6.0,1.0,0.0,8.0,0.0,3.0,0.0,3.0,11.0,4.0,0.0,1.0,4.0,2.0,4.0,0.0,0.0,0.0
8717,6,155667582,155672190,+,ENSSSCG00000049016,pseudogene,---,ensembl,---,pseudogene,ensembl,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,7.0,1.0,0.0,0.0,0.0
8748,10,56760315,56771883,+,ENSSSCG00000049085,lncRNA,---,ensembl,---,lncRNA,ensembl,0.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0,12.0,9.0,0.0,0.0,0.0
8762,11,5904738,5953704,-,ENSSSCG00000049125,lncRNA,---,ensembl,---,lncRNA,ensembl,18.0,7.0,7.0,39.0,18.0,31.0,29.0,69.0,12.0,15.0,32.0,7.0,12.0,18.0,4.0,27.0,22.0,0.0,0.0,0.0
8814,3,83694672,84148377,+,ENSSSCG00000049247,lncRNA,---,ensembl,---,lncRNA,ensembl,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8831,7,68287023,68296659,-,ENSSSCG00000049299,lncRNA,---,ensembl,---,lncRNA,ensembl,1.0,0.0,0.0,6.0,2.0,1.0,3.0,15.0,4.0,9.0,3.0,10.0,0.0,3.0,5.0,1.0,2.0,0.0,0.0,0.0
8890,7,45967563,45973804,-,ENSSSCG00000049456,lncRNA,---,ensembl,---,lncRNA,ensembl,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8962,13,109369447,109373194,+,ENSSSCG00000049662,protein_coding,---,ensembl,---,protein_coding,ensembl,2.0,0.0,1.0,0.0,0.0,1.0,2.72e-36,1.0,8.67e-08,1.0,1.0,2.62473,0.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0
9039,11,17230845,17239608,-,ENSSSCG00000049891,protein_coding,---,ensembl,---,protein_coding,ensembl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
9055,6,168511966,168531864,-,ENSSSCG00000049921,lncRNA,---,ensembl,---,lncRNA,ensembl,1.0,0.0,0.0,5.0,1.0,1.0,1.0,8.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
9058,1,79154279,79160469,+,ENSSSCG00000049926,protein_coding,---,ensembl,---,protein_coding,ensembl,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0
9095,6,25632218,25639046,+,ENSSSCG00000050027,lncRNA,---,ensembl,---,lncRNA,ensembl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0
9106,17,61890965,61933236,+,ENSSSCG00000050060,lncRNA,---,ensembl,---,lncRNA,ensembl,36.0,0.0,15.0,14.0,4.0,27.0,27.0,40.0,9.0,7.0,34.0,4.0,3.0,11.0,1.0,10.0,15.0,0.0,0.0,0.0
9154,6,89507788,89513091,-,ENSSSCG00000050185,lncRNA,---,ensembl,---,lncRNA,ensembl,25.0,1.0,2.0,4.0,0.0,0.0,8.0,38.0,1.0,5.0,0.0,2.0,4.0,3.0,5.0,10.0,0.0,0.0,0.0,0.0
9161,14,22452370,22459977,-,ENSSSCG00000050205,lncRNA,---,ensembl,---,lncRNA,ensembl,7.0,2.0,4.0,3.0,0.0,0.0,0.0,9.0,0.0,4.0,0.0,0.0,1.0,2.45e-34,0.0,0.0,0.0,0.0,0.0,0.0
9169,8,138519106,138601686,-,ENSSSCG00000050222,lncRNA,---,ensembl,---,lncRNA,ensembl,2.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
9200,13,54065554,54068734,+,ENSSSCG00000050302,lncRNA,---,ensembl,---,lncRNA,ensembl,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
9329,7,98148964,98162742,-,ENSSSCG00000050616,lncRNA,---,ensembl,---,lncRNA,ensembl,140.0,92.0,199.0,74.0,135.0,180.0,194.0,158.0,144.0,169.0,295.999,74.0,263.0,289.0,68.0,249.0,57.0,0.0,0.0,0.0
9356,3,17778471,17788003,+,ENSSSCG00000050672,lncRNA,---,ensembl,---,lncRNA,ensembl,1.0,0.0,0.0,5.0,3.0,0.0,5.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0
9357,7,2153352,2154914,+,ENSSSCG00000050673,lncRNA,---,ensembl,---,lncRNA,ensembl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
9361,10,54053078,54059764,-,ENSSSCG00000050681,lncRNA,---,ensembl,---,lncRNA,ensembl,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
9366,7,67963234,67967819,-,ENSSSCG00000050696,pseudogene,---,ensembl,---,pseudogene,ensembl,0.0,2.0,0.0,3.0,1.0,1.0,4.0,12.0,2.0,11.0,2.0,1.0,9.0,2.0,3.0,7.0,0.0,0.0,0.0,0.0
9379,8,52055330,52059860,-,ENSSSCG00000050729,protein_coding,---,ensembl,---,protein_coding,ensembl,4.8438,0.0,1.87429,1.40936,0.0,0.0,2.43749,4.23316,2.0,0.0,3.66915,2.11354,0.0,0.0,1.0,1.0,10.614,0.0,0.0,0.0
9430,9,48361054,48365542,-,ENSSSCG00000050836,pseudogene,---,ensembl,---,pseudogene,ensembl,2.34061,1.0,2.0,0.0,2.0,4.0,0.0,1.24091,0.0,1.37129,1.0,0.0,2.46536,1.52072,1.0,6.72492,1.0,0.0,0.0,0.0
9471,2,17803782,17811902,+,ENSSSCG00000050951,lncRNA,---,ensembl,---,lncRNA,ensembl,5.0,3.0,2.0,1.0,1.0,15.0,4.0,2.0,2.0,4.0,4.0,0.0,10.0,2.0,11.0,13.0,14.0,0.0,0.0,0.0
9478,5,65842799,65849741,+,ENSSSCG00000050969,protein_coding,---,ensembl,---,protein_coding,ensembl,3.0,2.0,0.0,2.0,1.0,1.14822,5.0,1.03018,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1.86212,2.0,0.0,0.0,0.0
9483,15,96227590,96313658,-,ENSSSCG00000050974,lncRNA,---,ensembl,---,lncRNA,ensembl,9.0,5.0,5.0,8.0,13.0,33.0,4.0,12.0,0.0,8.0,15.0,12.0,5.0,10.0,1.0,15.0,13.0,0.0,0.0,0.0
9547,9,76349296,76354877,+,ENSSSCG00000051115,lncRNA,---,ensembl,---,lncRNA,ensembl,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
9594,13,75441339,75469422,+,ENSSSCG00000051234,lncRNA,---,ensembl,---,lncRNA,ensembl,6.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0
9651,11,11444361,11449457,+,ENSSSCG00000051344,protein_coding,---,ensembl,---,protein_coding,ensembl,1.0,4.0,0.0,2.0,1.0,1.0,3.0,13.0,3.0,0.0,19.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
9655,16,36365786,36372016,+,ENSSSCG00000051353,lncRNA,---,ensembl,---,lncRNA,ensembl,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9680,3,123704231,123998552,+,ENSSSCG00000051420,lncRNA,---,ensembl,---,lncRNA,ensembl,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0
9697,2,140263301,140324426,-,ENSSSCG00000051455,pseudogene,---,ensembl,---,pseudogene,ensembl,6.01e-05,8.17e-10,1.83e-09,4.12e-07,3.06908,16.3603,4.29327,5.29891,5.39854,0.000148796,2.29e-09,7.84e-05,2.29e-08,0.000162038,2.26e-08,7.67356,1.51e-10,0.0261469,0.0,0.0
9763,17,33063722,33064860,+,ENSSSCG00000051614,protein_coding,---,ensembl,---,protein_coding,ensembl,2.38e-36,1.12e-15,0.0,1.17722,4.19053,1.0,1.74e-31,3.56069,2.10041,3.98954,0.0,3.54e-16,2.18e-08,0.0,1.31e-26,2.42e-18,0.0,0.0,0.0,0.0
9804,6,154640032,154646465,-,ENSSSCG00000051709,lncRNA,---,ensembl,---,lncRNA,ensembl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
9937,2,7803510,7813837,-,ESRRA,protein_coding,ESRRA,ensembl,---,protein_coding,ensembl,25.7559,16.7369,36.8772,247.402,45.0116,68.2657,39.7702,79.2575,34.7394,40.0593,20.6543,4.91258,21.4412,76.7581,17.9789,37.5426,348.788,7.0,4.0,3.0
